Datetime,Open,High,Low,Close,Volume,Symbol
2026-03-06 09:30:00,190.13,190.24,189.62,189.87,882180,AAPL
2026-03-06 09:35:00,189.63,189.84,189.3,189.51,2014510,AAPL
2026-03-06 09:40:00,188.99,189.38,188.92,189.38,2084105,AAPL
2026-03-06 09:45:00,189.77,189.91,188.92,189.53,1660723,AAPL
2026-03-06 09:50:00,189.09,189.57,188.99,189.39,2767337,AAPL
2026-03-06 09:55:00,189.63,189.97,189.41,189.57,1988638,AAPL
2026-03-06 10:00:00,189.92,189.95,189.51,189.92,1882672,AAPL
2026-03-06 10:05:00,189.89,190.35,189.44,189.63,1988151,AAPL
2026-03-06 10:10:00,189.71,189.82,189.64,189.7,2544851,AAPL
2026-03-06 10:15:00,189.25,189.79,188.48,189.44,795157,AAPL
2026-03-06 10:20:00,189.12,189.62,188.87,189.34,2512651,AAPL
2026-03-06 10:25:00,189.75,190.18,189.22,189.76,2877460,AAPL
2026-03-06 10:30:00,189.42,189.91,188.91,189.55,2124410,AAPL
2026-03-06 10:35:00,189.06,189.82,189.03,189.14,2599363,AAPL
2026-03-06 10:40:00,188.82,189.1,188.48,188.63,1768722,AAPL
2026-03-06 10:45:00,188.77,188.96,188.7,188.8,1754872,AAPL
2026-03-06 10:50:00,188.62,189.08,188.5,188.77,1750179,AAPL
2026-03-06 10:55:00,188.72,188.75,188.27,188.72,1411979,AAPL
2026-03-06 11:00:00,188.91,189.37,188.62,189.07,1843956,AAPL
2026-03-06 11:05:00,188.59,188.66,188.57,188.62,2122092,AAPL
2026-03-06 11:10:00,188.38,188.82,188.21,188.57,2517333,AAPL
2026-03-06 11:15:00,188.79,189.34,188.3,188.65,2291406,AAPL
2026-03-06 11:20:00,188.38,188.83,188.36,188.54,820460,AAPL
2026-03-06 11:25:00,188.78,188.96,188.28,188.74,1303143,AAPL
2026-03-06 11:30:00,188.62,188.79,188.41,188.54,2057622,AAPL
2026-03-06 11:35:00,188.86,189.16,187.94,188.37,1992629,AAPL
2026-03-06 11:40:00,188.7,189.43,187.82,188.35,1774241,AAPL
2026-03-06 11:45:00,188.11,188.32,187.74,188.02,1656155,AAPL
2026-03-06 11:50:00,188.53,188.94,188.26,188.28,1603334,AAPL
2026-03-06 11:55:00,188.89,189.28,188.47,188.51,2512477,AAPL
2026-03-06 12:00:00,188.75,189.42,188.73,188.85,1828411,AAPL
2026-03-06 12:05:00,188.56,188.63,188.05,188.52,2251994,AAPL
2026-03-06 12:10:00,188.16,188.62,187.88,188.53,2337308,AAPL
2026-03-06 12:15:00,188.57,188.95,188.26,188.73,1462432,AAPL
2026-03-06 12:20:00,189.09,189.52,188.82,189.2,2429596,AAPL
2026-03-06 12:25:00,188.58,189.06,188.23,188.61,2618592,AAPL
2026-03-06 12:30:00,188.98,189.4,188.32,188.51,2323764,AAPL
2026-03-06 12:35:00,189.25,189.59,188.77,188.95,2089003,AAPL
2026-03-06 12:40:00,189.45,189.73,189.09,189.25,1389661,AAPL
2026-03-06 12:45:00,189.48,189.68,189.36,189.58,2493634,AAPL
2026-03-06 12:50:00,189.58,189.77,189.53,189.62,2658024,AAPL
2026-03-06 12:55:00,189.91,190.33,189.51,189.96,2171588,AAPL
2026-03-06 13:00:00,190.17,190.29,189.87,189.99,1864477,AAPL
